dataset,proc_id_1,node_id_1,proc_id_2,node_id_2,node_label_1,node_label_2,paired,gold_paired
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2667,83,2691,"apply online send papers provide use utilize employ","apply online confirm establish country process results evaluation",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2668,83,2691,"send online protocol apply online send protocol forward papers via internet","apply online confirm establish country process results evaluation",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2669,83,2690,"send documents by post mail papers office send accept reward","send documents by post email document letter forward credentials mail",true,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2669,83,2706,"send documents by post mail papers office send accept reward","documents received mail papers destination received receive accept",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2670,83,2690,"documents received send online protocol documents papers come get","send documents by post email document letter forward credentials mail",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2670,83,2706,"documents received send online protocol documents papers come get","documents received mail papers destination received receive accept",true,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2671,83,2690,"check documents send documents post check evaluate check verify control","send documents by post email document letter forward credentials mail",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2671,83,2702,"check documents send documents post check evaluate check verify control","certificate received email send certificate documents acquired confirmed",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2671,83,2703,"check documents send documents post check evaluate check verify control","check certificate certification recommendation validation checking documents licence",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2671,83,2707,"check documents send documents post check evaluate check verify control","check documents documents information application examine papers data",true,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2672,83,2688,"evaluate validate confirm address examine papers count","sufficient cp in mathematics sufficient take oral exam evaluate cp mathematics exam",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2672,83,2704,"evaluate validate confirm address examine papers count","less than cp in mathematics math exam school rating points subject",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2672,83,2708,"evaluate validate confirm address examine papers count","evaluate result marks validate examine check estimate",true,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2673,83,2705,"invite to an aptitude test invitation test failure testing class teacher","take oral exam revoque rejection bad reexamination passing cp result",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2675,83,2705,"take aptitude test confirm establish country process examinations payments","take oral exam revoque rejection bad reexamination passing cp result",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2676,83,2708,"rank students according to gpa and the test results confirm establish country process rankings results","evaluate result marks validate examine check estimate",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2679,83,2705,"pay for aptitude test test invitation application price money procedure","take oral exam revoque rejection bad reexamination passing cp result",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2683,83,2693,"acceptance revoque rejection bad result acceptance procedure","provisional acceptance cancelled average grade good better acceptance confirmed reject preliminary no",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2683,83,2694,"acceptance revoque rejection bad result acceptance procedure","send letter of acceptance send letter rejection acceptance send letter accept",true,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2683,83,2695,"acceptance revoque rejection bad result acceptance procedure","send letter of provisional acceptance process result degree forward papers preliminary",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2683,83,2696,"acceptance revoque rejection bad result acceptance procedure","accepted letter applicant invite send letter of rejection acceptance rejected accepted",true,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2683,83,2697,"acceptance revoque rejection bad result acceptance procedure","rejected unacceptable reject deny rejected reject discard",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2683,83,2698,"acceptance revoque rejection bad result acceptance procedure","accepted provisionally confirm establish country process evaluation results",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2683,83,2709,"acceptance revoque rejection bad result acceptance procedure","send letter of rejection letter rejected accepted rejection reject refusal",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2684,83,2690,"send letter of rejection repulse paper document rank students acceptance rejection","send documents by post email document letter forward credentials mail",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2684,83,2697,"send letter of rejection repulse paper document rank students acceptance rejection","rejected unacceptable reject deny rejected reject discard",true,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2684,83,2702,"send letter of rejection repulse paper document rank students acceptance rejection","certificate received email send certificate documents acquired confirmed",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2684,83,2709,"send letter of rejection repulse paper document rank students acceptance rejection","send letter of rejection letter rejected accepted rejection reject refusal",true,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2667,84,2716,"apply online send papers provide use utilize employ","add certificate of bachelor degree revoque rejection bad mother tongue nationality",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2667,84,2718,"apply online send papers provide use utilize employ","german language translate german german germanic germane",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2667,84,2722,"apply online send papers provide use utilize employ","add certificate of german language application certificate form provide papers foreign",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2667,84,2730,"apply online send papers provide use utilize employ","complete application finish success fulfill finished ended evaluation",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2667,84,2732,"apply online send papers provide use utilize employ","fill out application form mother tongue nationality process papers write insert data",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2668,84,2720,"send online protocol apply online send protocol forward papers via internet","send application request petition requisition fill out application form send",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2669,84,2720,"send documents by post mail papers office send accept reward","send application request petition requisition fill out application form send",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2669,84,2721,"send documents by post mail papers office send accept reward","receive rejection reject accept fail email coming document",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2669,84,2723,"send documents by post mail papers office send accept reward","receive acceptance send acceptance rejection receive immatriculate send acceptance immatriculate",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2669,84,2729,"send documents by post mail papers office send accept reward","send acceptance send email accept forward acceptance article",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2669,84,2731,"send documents by post mail papers office send accept reward","send rejection denial document process send forward dispatch",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2670,84,2719,"documents received send online protocol documents papers come get","receive application job interview apply receive coming documents",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2670,84,2721,"documents received send online protocol documents papers come get","receive rejection reject accept fail email coming document",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2671,84,2710,"check documents send documents post check evaluate check verify control","complete and in time timely completion deadline complete fillin implement",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2671,84,2715,"check documents send documents post check evaluate check verify control","check application complete send receive check application complete valid confirm find check control",true,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2671,84,2717,"check documents send documents post check evaluate check verify control","check application in time hours minutes seconds examine fulfill papers",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2671,84,2728,"check documents send documents post check evaluate check verify control","rank with other applicants document rank applicants rejection rank applicants others",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2671,84,2731,"check documents send documents post check evaluate check verify control","send rejection denial document process send forward dispatch",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2672,84,2711,"evaluate validate confirm address examine papers count","hand application over to examining board executive board verification provide papers authorities",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2672,84,2712,"evaluate validate confirm address examine papers count","check if bachelor is sufficient degree establish confirm certify inquire necessary",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2672,84,2713,"evaluate validate confirm address examine papers count","set additional requirements hand application examining board more criteria propose",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2672,84,2714,"evaluate validate confirm address examine papers count","check if bachelors grade within top % eligible screening interview find examine check",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2672,84,2715,"evaluate validate confirm address examine papers count","check application complete send receive check application complete valid confirm find check control",true,false
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2673,84,2725,"invite to an aptitude test invitation test failure testing class teacher","invite for talk interview invitation groundcheck speak conversion room",true,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2675,84,2726,"take aptitude test confirm establish country process examinations payments","talk to applicant conversation entrance evaluation check if bachelors grade invite for talk",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2675,84,2727,"take aptitude test confirm establish country process examinations payments","document evaluation applicant test invite for talk applicant document rank with others",false,true
UA_Union_GoldAll_Raw_2_Keywords_NoSpam_NoStem,82,2676,84,2728,"rank students according to gpa and the test results confirm establish country process rankings results","rank with other applicants document rank applicants rejection rank applicants others",false,true
